Activity Name,Date,Sport Type,Distance (miles),Total Elevation Gain (ft),Difficulty Score
Dexter,02/28/21,Ride,31.14,1288,10.44
Cadillac Pathway,06/06/20,MountainBikeRide,18.32,1462,10.34
Three Lakes,09/10/23,Ride,33.83,881,10.3
Barton Hills,09/01/20,Ride,24.8,2010,10.3
Cadillac Pathway,08/17/20,MountainBikeRide,18.22,1457,10.29
Saint Paul,08/09/23,Ride,34.33,807,10.28
Glacial Hills,06/24/20,MountainBikeRide,19.26,1234,10.25
North Lake Washington,07/18/24,Ride,30.31,1300,10.18
Burke-Gilman + Green Lake,07/16/25,Ride,35.32,650,10.13
Deer Ridge Junction ,08/15/22,Ride,20.86,1865,10.1
Lake Cadillac,08/10/20,Run,10.04,24,10.09
South Kaibob Trial,12/13/23,Hike,7.03,2040,10.09
Dighton,08/06/19,Ride,27.62,1543,10.08
Escarpment Trail,05/22/23,Hike,8.57,1781,10.07
Dighton,04/06/20,Ride,27.7,1529,10.07
WPT - Leroy,04/11/20,Ride,34.92,622,10.05
Full Huron River Drive,12/03/20,Ride,30.35,1178,10.03
Big M Challenge,07/25/20,MountainBikeRide,17.77,1413,10.02
Cadillac Pathway,06/19/20,MountainBikeRide,17.65,1427,9.99
Dighton ,08/02/20,Ride,27.73,1482,9.97
Middle Fork,07/17/25,Ride,30.63,1112,9.96
Lake Minnetonka ,08/13/23,Ride,33.78,685,9.89
Tustin,08/10/20,GravelRide,22.66,1115,9.86
Ann Arbor Local Loop,04/10/21,MountainBikeRide,17.53,1379,9.85
Annette Lake,10/15/23,Hike,7.53,1955,9.83
Ann Arbor Local Loop,09/02/20,MountainBikeRide,18.42,1192,9.83
Theo Wirth,06/26/23,MountainBikeRide,18.42,1182,9.81
Heil Ranch,07/08/22,MountainBikeRide,14.95,1555,9.81
Pictured Rocks,05/24/23,Hike,11.06,719,9.81
Big M,05/01/20,MountainBikeRide,17.93,1275,9.8
Big M,05/16/20,MountainBikeRide,17.33,1379,9.77
Flagstaff,06/30/22,Ride,15.83,2542,9.76
Montrose Track,06/12/25,Run,9.63,22,9.75
Dexter,04/08/21,Ride,30.68,996,9.74
Pleasant Lake,05/13/21,GravelRide,23.11,980,9.74
The Dragon ,05/20/23,MountainBikeRide,19.9,847,9.73
North Lake Washington,09/30/23,Ride,29.9,1110,9.69
Thursday Night Ride - AAVC,07/22/21,Ride,38.61,0,9.65
Boon,05/02/20,Ride,34.26,503,9.65
