Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Palmer Woods,MountainBikeRide,"(44.892729, -85.915085)",1070.210008,20583.6,root='Ride',371.5,227.7,2025-05-27 16:05:45+00:00,Leland,Michigan,US,5.12,2.44,7.5600000000000005,908.63,0.992,7.62,12.79,1219,05/27/25
Meauwataka,Ride,"(44.217576, -85.40838)",1523.95018,61705.0,root='Ride',290.1,392.0,2025-05-26 19:36:04+00:00,Cadillac,Michigan,US,9.59,1.9,11.49,1405.02,0.992,11.58,38.34,952,05/26/25
Cadillac Pathway,MountainBikeRide,"(44.282579, -85.335453)",1450.787448,26054.6,root='Ride',303.0,380.4,2025-05-25 18:44:20+00:00,Cadillac,Michigan,US,6.48,1.99,8.47,1349.41,0.992,8.54,16.19,994,05/25/25
Afternoon Run,Run,"(44.222217, -85.42707)",1331.364872,6742.7,root='Run',12.1,393.1,2025-05-24 20:53:36+00:00,Cadillac,Michigan,US,4.19,0.08,4.2700000000000005,1310.53,0.992,4.3,4.19,40,05/24/25
VASA ST,MountainBikeRide,"(44.70227, -85.483047)",973.753312,33162.4,root='Ride',154.1,268.4,2025-05-23 17:28:12+00:00,Kingsley,Michigan,US,8.24,1.01,9.25,927.17,0.992,9.32,20.61,506,05/23/25
Afternoon Hike,Hike,"(44.239915, -85.453824)",1297.57222,3988.1,root='Hike',6.2,392.0,2025-05-22 20:14:08+00:00,Cadillac,Michigan,US,2.48,0.04,2.52,1291.83,0.992,2.54,2.48,20,05/22/25
Cadillac Pathway,MountainBikeRide,"(44.282599, -85.33541)",1450.787448,27433.1,root='Ride',236.1,380.1,2025-05-22 14:36:28+00:00,Cadillac,Michigan,US,6.82,1.55,8.370000000000001,1348.92,0.992,8.44,17.05,775,05/22/25
Lake Cadillac,Run,"(44.233309, -85.416752)",1316.273008,11400.3,root='Run',10.9,392.7,2025-05-21 16:59:06+00:00,Cadillac,Michigan,US,7.08,0.07,7.15,1302.33,0.992,7.21,7.08,36,05/21/25
Morning Run,Run,"(35.697518, 139.703907)",145.013128,8668.3,root='Run',33.2,12.8,2025-05-17 22:26:35+00:00,Tokyo,Tokyo,JP,5.39,0.22,5.609999999999999,93.5,1.0,5.61,5.39,109,05/17/25
Imperial Palace!,Run,"(35.696725, 139.703869)",158.792656,10240.3,root='Run',69.0,7.2,2025-05-16 00:03:33+00:00,Tokyo,Tokyo,JP,6.36,0.45,6.8100000000000005,91.21,1.0,6.81,6.36,226,05/16/25
Shinjuku Garden + Japan National Stadium,Run,"(35.697533, 139.703898)",190.616804,9384.8,root='Run',32.7,33.1,2025-05-14 23:53:09+00:00,Tokyo,Tokyo,JP,5.83,0.21,6.04,149.61,1.0,6.04,5.83,107,05/14/25
Yoyogi Park,Run,"(35.697646, 139.704074)",168.96326,11348.6,root='Run',57.5,30.2,2025-05-13 23:35:07+00:00,Tokyo,Tokyo,JP,7.05,0.38,7.43,134.02,1.0,7.43,7.05,189,05/13/25
Afternoon Hike,Hike,"(35.029, 135.71982)",931.75856,12828.9,root='Hike',291.9,38.6,2025-05-11 04:12:03+00:00,Kyoto,Kyoto,JP,7.97,1.92,9.89,529.2,0.992,9.97,7.97,958,05/11/25
Century Park + Pudong,Run,"(31.2128, 121.546555)",33.136483999999996,10002.2,root='Run',24.1,4.2,2025-05-07 00:40:17+00:00,Huamu,Shanghai Shi,CN,6.22,0.16,6.38,23.46,1.0,6.38,6.22,79,05/07/25
South Bund,Run,"(31.236425, 121.472541)",42.65092,9722.4,root='Run',32.0,3.7,2025-05-05 23:10:01+00:00,Shanghai,Shanghai Shi,CN,6.04,0.21,6.25,27.4,1.0,6.25,6.04,105,05/05/25
North Bund,Run,"(31.235986, 121.472752)",43.963256,12488.4,root='Run',48.8,2.1,2025-05-04 22:21:32+00:00,Shanghai,Shanghai Shi,CN,7.76,0.32,8.08,25.43,1.0,8.08,7.76,160,05/04/25
Chicago Lakefront Path,Run,"(41.929137, -87.649652)",602.690308,11436.3,root='Run',8.8,177.2,2025-05-02 12:05:05+00:00,Chicago,Illinois,US,7.11,0.06,7.17,592.03,0.992,7.23,7.11,29,05/02/25
Chicago Lakefront Path,Run,"(41.932623, -87.644864)",600.39372,10565.7,root='Run',14.2,177.2,2025-05-01 21:31:36+00:00,Chicago,Illinois,US,6.57,0.09,6.66,590.88,0.992,6.71,6.57,47,05/01/25
Lake Cadillac,Ride,"(44.21765, -85.408236)",1431.430492,17592.4,root='Ride',59.1,392.7,2025-04-30 19:20:39+00:00,Cadillac,Michigan,US,2.73,0.39,3.12,1359.91,0.992,3.15,10.93,194,04/30/25
Cadillac Pathway,MountainBikeRide,"(44.282651, -85.335271)",1374.67196,17208.3,root='Ride',134.7,380.2,2025-04-30 17:55:41+00:00,Cadillac,Michigan,US,4.28,0.88,5.16,1311.02,0.992,5.2,10.69,442,04/30/25
Afternoon Run,Run,"(44.217522, -85.408156)",1446.194272,6804.2,root='Run',63.5,419.6,2025-04-29 19:30:12+00:00,Cadillac,Michigan,US,4.23,0.42,4.65,1411.42,0.992,4.69,4.23,208,04/29/25
Cadillac Pathway,MountainBikeRide,"(44.267129, -85.3776)",1450.787448,27233.1,root='Ride',315.5,382.1,2025-04-28 19:19:36+00:00,Cadillac,Michigan,US,6.77,2.07,8.84,1352.2,0.992,8.91,16.92,1035,04/28/25
WPT — County Line,Ride,"(44.217588, -85.408324)",1448.818944,24941.5,root='Ride',213.6,382.0,2025-04-27 19:52:11+00:00,Cadillac,Michigan,US,3.87,1.4,5.27,1351.05,0.992,5.31,15.5,701,04/27/25
Cadillac Pathway,MountainBikeRide,"(44.267041, -85.377572)",1423.228392,4131.4,root='Ride',55.4,405.3,2025-04-27 19:01:27+00:00,Cadillac,Michigan,US,1.03,0.36,1.3900000000000001,1376.48,0.992,1.4,2.57,182,04/27/25
Afternoon Run,Run,"(44.217456, -85.408111)",1431.102408,10342.7,root='Run',14.0,392.0,2025-04-26 17:12:06+00:00,Cadillac,Michigan,US,6.43,0.09,6.52,1358.6,0.992,6.57,6.43,46,04/26/25
Cadillac Pathway,MountainBikeRide,"(44.282563, -85.33549)",1450.787448,27832.8,root='Ride',235.3,379.9,2025-04-25 18:18:51+00:00,Cadillac,Michigan,US,6.92,1.54,8.46,1348.59,0.992,8.53,17.29,772,04/25/25
Charleston,Run,"(32.79193, -79.867473)",199.14698800000002,18123.4,root='Run',66.4,0.9,2025-04-21 12:19:46+00:00,Mount Pleasant,South Carolina,US,11.26,0.44,11.7,101.05,1.0,11.7,11.26,218,04/21/25
Morning Run,Run,"(32.757646, -79.834211)",19.356956,7193.7,root='Run',5.9,0.0,2025-04-19 13:44:37+00:00,Sullivans Island,South Carolina,US,4.47,0.04,4.51,9.68,1.0,4.51,4.47,19,04/19/25
Discovery Park,Ride,"(47.664058, -122.306588)",353.674552,27401.3,root='Ride',278.3,3.6,2025-04-17 20:18:07+00:00,Seattle,Washington,US,4.26,1.83,6.09,182.74,1.0,6.09,17.03,913,04/17/25
Crystal,AlpineSki,"(46.935644, -121.474869)",6992.454292,63823.9,root='AlpineSki',7418.3,1332.7,2025-04-16 16:09:07+00:00,Enumclaw,Washington,US,39.66,24.34,64.0,5682.41,0.927,69.04,39.66,24338,04/16/25
Evening Run,Run,"(47.664052, -122.306567)",316.92914399999995,5835.2,root='Run',45.4,52.9,2025-04-16 02:29:58+00:00,Seattle,Washington,US,3.63,0.3,3.9299999999999997,245.24,1.0,3.93,3.63,149,04/16/25
Bellevue,Ride,"(47.663922, -122.306404)",219.81628,28427.4,root='Ride',271.8,9.4,2025-04-14 23:49:18+00:00,Seattle,Washington,US,4.42,1.78,6.2,125.33,1.0,6.2,17.66,892,04/14/25
Crystal,AlpineSki,"(46.935554, -121.475271)",6991.798124,69652.8,root='AlpineSki',8110.7,1332.7,2025-04-13 15:36:44+00:00,Enumclaw,Washington,US,43.28,26.61,69.89,5682.09,0.927,75.39,43.28,26610,04/13/25
North Lake Washington,Ride,"(47.663888, -122.306661)",462.59844,43943.2,root='Ride',365.9,6.6,2025-04-11 23:23:31+00:00,Seattle,Washington,US,6.83,2.4,9.23,242.13,1.0,9.23,27.31,1200,04/11/25
Evening Run,Run,"(47.663947, -122.306653)",268.700796,9872.0,root='Run',54.0,50.5,2025-04-11 01:04:34+00:00,Seattle,Washington,US,6.13,0.35,6.4799999999999995,217.19,1.0,6.48,6.13,177,04/11/25
Mount Baker,AlpineSki,"(48.861615, -121.654153)",5105.315124,71650.5,root='AlpineSki',8771.5,1108.3,2025-04-09 15:57:53+00:00,Agassiz,British Columbia,CA,44.52,28.78,73.30000000000001,4370.74,0.959,76.43,44.52,28778,04/09/25
Lake Union,Run,"(47.663888, -122.306661)",229.33071600000002,13398.2,root='Run',83.8,7.0,2025-04-08 23:25:47+00:00,Seattle,Washington,US,8.33,0.55,8.88,126.15,1.0,8.88,8.33,275,04/08/25
Afternoon Run,Run,"(47.663879, -122.306667)",243.438328,8057.2,root='Run',25.7,50.5,2025-04-06 21:30:46+00:00,Seattle,Washington,US,5.01,0.17,5.18,204.56,1.0,5.18,5.01,84,04/06/25
Bellevue,Ride,"(47.663879, -122.306667)",214.23885199999998,27885.0,root='Ride',272.8,9.5,2025-04-06 01:04:16+00:00,Seattle,Washington,US,4.33,1.79,6.12,122.7,1.0,6.12,17.33,895,04/06/25
Crystal,AlpineSki,"(46.9355, -121.474671)",6954.396548,67030.9,root='AlpineSki',8354.4,1332.7,2025-04-05 15:38:25+00:00,Enumclaw,Washington,US,41.65,27.41,69.06,5663.39,0.927,74.5,41.65,27409,04/05/25
Winter Park — Day 4,AlpineSki,"(39.870548, -105.758771)",11987.533192,106194.0,root='AlpineSki',10611.7,2770.9,2025-04-03 14:53:47+00:00,Fraser,Colorado,US,65.99,34.82,100.81,10539.21,0.809,124.61,65.99,34815,04/03/25
Winter Park — Day 3,AlpineSki,"(39.874994, -105.761116)",11987.533192,83051.5,root='AlpineSki',8621.5,2770.7,2025-04-02 14:51:38+00:00,Fraser,Colorado,US,51.61,28.29,79.9,10538.88,0.809,98.76,51.61,28286,04/02/25
Winter Park — Day 2,AlpineSki,"(39.875121, -105.760857)",11987.533192,72385.8,root='AlpineSki',7219.1,2880.5,2025-04-01 15:14:30+00:00,Fraser,Colorado,US,44.98,23.68,68.66,10719.0,0.809,84.87,44.98,23685,04/01/25
A-Basin,AlpineSki,"(39.641967, -105.87328)",12465.223496,50419.1,root='AlpineSki',6641.1,3281.2,2025-03-31 15:17:59+00:00,Keystone,Colorado,US,31.33,21.79,53.12,11615.16,0.78,68.1,31.33,21788,03/31/25
