Activity Name,Sport Type,start_latlng,elev_high,distance,type,total_elevation_gain,elev_low,start_date,City,State,Country,distance_score,elevation_score,difficulty_score_without_altitude,average_elevation,performance_capacity,Difficulty Score,Distance (miles),Total Elevation Gain (ft),Date
Commute,Ride,"(47.631825311109424, -122.3264417052269)",252.95276399999997,4577.0,root='Ride',78.8,11.2,2023-10-30 21:43:59+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.84,259,10/30/23
Commute,Ride,"(47.66382607631385, -122.30670165270567)",253.60893199999998,4782.2,root='Ride',31.2,11.2,2023-10-30 16:23:23+00:00,Seattle,Washington,US,0.74,0.2,0.94,145.18,1.0,0.94,2.97,102,10/30/23
Gothic Basin - Foggy Lake,Hike,"(48.026324193924665, -121.44420515745878)",4963.5828360000005,15366.3,root='Hike',880.4,705.7,2023-10-29 15:46:11+00:00,Darrington,Washington,US,9.55,5.78,15.330000000000002,3639.44,0.959,15.99,9.55,2888,10/29/23
Commute,Ride,"(47.63181776739657, -122.32632553204894)",252.95276399999997,4552.6,root='Ride',78.6,11.2,2023-10-27 21:38:15+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.83,258,10/27/23
Commute,Ride,"(47.66393160447478, -122.30633184313774)",253.60893199999998,4766.8,root='Ride',31.4,11.2,2023-10-27 16:20:30+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.96,103,10/27/23
Commute,Ride,"(47.63179237022996, -122.32649216428399)",153.215228,3973.4,root='Ride',51.1,11.2,2023-10-25 21:38:45+00:00,Seattle,Washington,US,0.62,0.34,0.96,94.98,1.0,0.96,2.47,168,10/25/23
Commute,Ride,"(47.66382607631385, -122.30670165270567)",253.60893199999998,4736.4,root='Ride',31.4,11.2,2023-10-25 16:03:21+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.94,103,10/25/23
Commute,Ride,"(47.63207618147135, -122.32641362585127)",252.95276399999997,4599.2,root='Ride',78.7,11.2,2023-10-23 21:47:39+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.86,258,10/23/23
Commute,Ride,"(47.66390503384173, -122.30633393861353)",253.60893199999998,4631.4,root='Ride',27.7,11.2,2023-10-23 16:22:23+00:00,Seattle,Washington,US,0.72,0.18,0.8999999999999999,145.18,1.0,0.9,2.88,91,10/23/23
Mercer Island,Ride,"(47.66393277794123, -122.30641767382622)",227.362212,50890.3,root='Ride',511.6,7.4,2023-10-21 15:55:50+00:00,Seattle,Washington,US,7.91,3.36,11.27,125.82,1.0,11.27,31.62,1678,10/21/23
Commute,Ride,"(47.63183821924031, -122.32638755813241)",252.95276399999997,4561.7,root='Ride',78.7,11.2,2023-10-20 22:00:13+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.83,258,10/20/23
Commute,Ride,"(47.66382607631385, -122.30670165270567)",253.60893199999998,4784.8,root='Ride',31.3,11.2,2023-10-20 16:26:23+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.97,103,10/20/23
Mercer Island,Ride,"(47.663995223119855, -122.30661146342754)",227.362212,48054.0,root='Ride',496.1,7.9,2023-10-19 23:30:00+00:00,Seattle,Washington,US,7.46,3.26,10.719999999999999,126.64,1.0,10.72,29.86,1628,10/19/23
Commute,Ride,"(47.63182547874749, -122.32637054286897)",252.95276399999997,4617.0,root='Ride',78.7,11.2,2023-10-18 21:41:47+00:00,Seattle,Washington,US,0.72,0.52,1.24,144.85,1.0,1.24,2.87,258,10/18/23
Commute,Ride,"(47.66392758116126, -122.30646486394107)",253.60893199999998,4765.4,root='Ride',31.7,11.2,2023-10-18 16:10:31+00:00,Seattle,Washington,US,0.74,0.21,0.95,145.18,1.0,0.95,2.96,104,10/18/23
Commute,Ride,"(47.631921619176865, -122.32651554979384)",252.95276399999997,4575.5,root='Ride',78.6,11.2,2023-10-16 21:21:34+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.84,258,10/16/23
Commute,Ride,"(47.66382607631385, -122.30670165270567)",253.60893199999998,4838.6,root='Ride',30.5,11.2,2023-10-16 15:30:41+00:00,Seattle,Washington,US,0.75,0.2,0.95,145.18,1.0,0.95,3.01,100,10/16/23
Annette Lake,Hike,"(47.39281467162073, -121.4744142908603)",3690.6169160000004,12119.0,root='Hike',595.8,583.7,2023-10-15 16:35:31+00:00,Tanner,Washington,US,7.53,3.91,11.440000000000001,2802.82,0.972,11.77,7.53,1955,10/15/23
Commute,Ride,"(47.63184500858188, -122.3263809364289)",252.95276399999997,4574.7,root='Ride',78.7,11.2,2023-10-13 22:00:21+00:00,Seattle,Washington,US,0.71,0.52,1.23,144.85,1.0,1.23,2.84,258,10/13/23
Commute,Ride,"(47.66388097777963, -122.30656703934073)",253.60893199999998,4927.7,root='Ride',31.7,11.2,2023-10-13 16:10:09+00:00,Seattle,Washington,US,0.77,0.21,0.98,145.18,1.0,0.98,3.06,104,10/13/23
Mercer Island,Ride,"(47.66382607631385, -122.30670165270567)",227.362212,48948.6,root='Ride',487.0,7.9,2023-10-12 22:42:05+00:00,Seattle,Washington,US,7.6,3.2,10.8,126.64,1.0,10.8,30.42,1598,10/12/23
Commute,Ride,"(47.631815588101745, -122.32670154422522)",252.95276399999997,4645.0,root='Ride',79.6,8.5,2023-10-11 21:15:45+00:00,Seattle,Washington,US,0.72,0.52,1.24,140.42,1.0,1.24,2.89,261,10/11/23
Commute,Ride,"(47.66400779597461, -122.30661842040718)",253.60893199999998,1490.5,root='Ride',12.2,32.0,2023-10-11 15:41:50+00:00,Seattle,Washington,US,0.23,0.08,0.31,179.3,1.0,0.31,0.93,40,10/11/23
Commute,Ride,"(47.629842069000006, -122.32879081740975)",252.95276399999997,4841.7,root='Ride',78.9,11.1,2023-10-09 22:10:28+00:00,Seattle,Washington,US,0.75,0.52,1.27,144.69,1.0,1.27,3.01,259,10/09/23
Commute,Ride,"(47.66392800025642, -122.30636964552104)",218.503944,5248.0,root='Ride',24.2,9.1,2023-10-09 16:34:15+00:00,Seattle,Washington,US,0.82,0.16,0.98,124.18,1.0,0.98,3.26,79,10/09/23
Morning Run,Run,"(47.66382607631385, -122.3067054245621)",215.22310399999998,6152.7,root='Run',67.9,6.6,2023-10-09 15:21:51+00:00,Seattle,Washington,US,3.82,0.45,4.27,118.44,1.0,4.27,3.82,223,10/09/23
Raging River,MountainBikeRide,"(47.511203, -121.849652)",1741.469872,19514.2,root='Ride',714.9,282.1,2023-10-08 21:16:28+00:00,Snoqualmie,Washington,US,4.85,4.69,9.54,1333.5,0.992,9.62,12.13,2345,10/08/23
Snow Lake,Hike,,0.0,10194.9,root='Hike',0.0,0.0,2023-10-07 16:39:50+00:00,,,,6.33,0.0,6.33,0.0,1.0,6.33,6.33,0,10/07/23
Commute,Ride,"(47.656900864094496, -122.20720452256501)",225.393708,12657.2,root='Ride',153.2,9.4,2023-10-07 00:07:26+00:00,Yarrow Point,Washington,US,1.97,1.01,2.98,128.12,1.0,2.98,7.86,503,10/07/23
Commute,Ride,"(47.663960019126534, -122.30641599744558)",214.56693600000003,12378.1,root='Ride',94.2,10.5,2023-10-06 15:17:14+00:00,Seattle,Washington,US,1.92,0.62,2.54,124.51,1.0,2.54,7.69,309,10/06/23
North Lake Washington,Ride,"(47.66398818232119, -122.3064273968339)",460.30185200000005,44101.1,root='Ride',368.7,6.8,2023-10-06 00:14:56+00:00,Seattle,Washington,US,6.85,2.42,9.27,241.31,1.0,9.27,27.4,1210,10/06/23
Kendall Katwalk - PCT,Hike,"(47.428120505064726, -121.41361967660487)",5450.131408,24631.2,root='Hike',962.6,917.1,2023-10-01 14:04:15+00:00,Tanner,Washington,US,15.31,6.32,21.630000000000003,4229.49,0.959,22.55,15.31,3158,10/01/23
North Lake Washington,Ride,"(47.66396747902036, -122.30648464523256)",460.30185200000005,48117.6,root='Ride',338.3,6.8,2023-09-30 15:51:05+00:00,Seattle,Washington,US,7.47,2.22,9.69,241.31,1.0,9.69,29.9,1110,09/30/23
Cougar Mountain,Ride,"(47.66396161168814, -122.30627124197781)",1489.829444,65292.5,root='Ride',1027.7,2.3,2023-09-26 15:31:02+00:00,Seattle,Washington,US,10.14,6.74,16.880000000000003,748.69,0.992,17.02,40.57,3372,09/26/23
Skyline Trail — MRNP,Hike,"(46.78591785952449, -121.73595204949379)",7293.30732,15641.8,root='Hike',817.8,1648.5,2023-09-24 13:19:10+00:00,Buckley,Washington,US,9.72,5.37,15.09,6350.89,0.927,16.28,9.72,2683,09/24/23
Cadillac Pathway,MountainBikeRide,"(44.26722401753068, -85.37769187241793)",1442.257264,19659.4,root='Ride',251.2,380.2,2023-09-20 13:53:44+00:00,Cadillac,Michigan,US,4.89,1.65,6.539999999999999,1344.82,0.992,6.59,12.22,824,09/20/23
Both Lakes,Ride,"(44.217524, -85.408217)",1431.430492,31995.0,root='Ride',73.8,392.5,2023-09-19 22:17:02+00:00,Cadillac,Michigan,US,4.97,0.48,5.449999999999999,1359.58,0.992,5.49,19.88,242,09/19/23
Lake Cadillac,Run,,0.0,11009.0,root='Run',0.0,0.0,2023-09-18 19:41:31+00:00,,,,6.84,0.0,6.84,0.0,1.0,6.84,6.84,0,09/18/23
The Dragon,MountainBikeRide,"(43.503223434090614, -85.58800622820854)",925.5249640000001,47376.0,root='Ride',327.4,251.8,2023-09-17 15:52:53+00:00,Howard City,Michigan,US,11.78,2.15,13.93,875.82,0.992,14.04,29.44,1074,09/17/23
Hoxeyville + Harrietta,Ride,"(44.217561576515436, -85.40823292918503)",1431.758576,83460.5,root='Ride',553.7,331.8,2023-09-16 14:15:35+00:00,Cadillac,Michigan,US,12.96,3.63,16.59,1260.17,0.992,16.72,51.86,1817,09/16/23
Meauwataka,Ride,"(44.217526, -85.408142)",1523.95018,55023.3,root='Ride',287.6,392.1,2023-09-14 21:19:02+00:00,Cadillac,Michigan,US,8.55,1.89,10.440000000000001,1405.18,0.992,10.52,34.19,944,09/14/23
Cadillac Pathway,MountainBikeRide,"(44.26722661592066, -85.37767175585032)",1449.8031959999998,24007.2,root='Ride',317.8,381.8,2023-09-13 20:48:30+00:00,Cadillac,Michigan,US,5.97,2.09,8.059999999999999,1351.21,0.992,8.12,14.92,1043,09/13/23
Old Mission Peninsula,Ride,"(44.760503, -85.591272)",863.1890040000001,67129.5,root='Ride',362.5,178.0,2023-09-12 13:48:04+00:00,Traverse City,Michigan,US,10.43,2.38,12.809999999999999,723.59,0.992,12.91,41.71,1189,09/12/23
Three Lakes,Ride,"(44.217475, -85.408207)",1485.2362679999999,54449.1,root='Ride',268.4,381.9,2023-09-10 17:23:36+00:00,Cadillac,Michigan,US,8.46,1.76,10.22,1369.09,0.992,10.3,33.83,881,09/10/23
Glacial Hills,MountainBikeRide,"(44.990647472441196, -85.25529789738357)",954.068272,26166.0,root='Ride',430.4,199.9,2023-09-09 14:22:05+00:00,Bellaire,Michigan,US,6.5,2.82,9.32,804.95,0.992,9.4,16.26,1412,09/09/23
Cadillac Pathway,MountainBikeRide,"(44.282857021316886, -85.33508305437863)",1449.8031959999998,24261.4,root='Ride',239.7,379.8,2023-09-08 20:18:15+00:00,Cadillac,Michigan,US,6.03,1.57,7.6000000000000005,1347.93,0.992,7.66,15.08,786,09/08/23
Tustin,Ride,"(44.21721230261028, -85.40842210873961)",1447.506608,52247.3,root='Ride',422.7,358.4,2023-09-06 20:36:43+00:00,Cadillac,Michigan,US,8.12,2.77,10.889999999999999,1311.68,0.992,10.98,32.46,1387,09/06/23
Starved Rock State Park,Hike,"(41.322817923501134, -88.99763502180576)",611.87666,12784.9,root='Hike',195.3,138.3,2023-09-03 17:49:44+00:00,Deer Park,Illinois,US,7.94,1.28,9.22,532.81,0.992,9.29,7.94,641,09/03/23
Chicago Lakefront Trail,Ride,"(41.92806291393936, -87.64463793486357)",611.87666,44810.1,root='Ride',85.0,177.3,2023-09-01 18:46:29+00:00,Chicago,Illinois,US,6.96,0.56,7.52,596.78,0.992,7.58,27.84,279,09/01/23
Chicago Lakefront Trail,Ride,"(41.9279018137604, -87.64475486241281)",611.87666,31486.0,root='Ride',49.6,177.7,2023-08-30 22:22:37+00:00,Chicago,Illinois,US,4.89,0.33,5.22,597.44,0.992,5.26,19.56,163,08/30/23
Sullivan’s Island,Ride,"(32.792399832978845, -79.8667357955128)",40.026247999999995,16188.0,root='Ride',12.9,1.6,2023-08-25 15:13:07+00:00,Mount Pleasant,South Carolina,US,2.51,0.08,2.59,22.64,1.0,2.59,10.06,42,08/25/23
Chicago Lakefront Trail,Ride,"(41.929595125839114, -87.64372112229466)",611.87666,77560.2,root='Ride',93.2,177.7,2023-08-22 15:02:36+00:00,Chicago,Illinois,US,12.05,0.61,12.66,597.44,0.992,12.76,48.19,306,08/22/23
Chicago Lakefront Trail,Run,"(41.92799971438944, -87.64459510333836)",611.87666,26110.8,root='Run',44.6,176.6,2023-08-21 14:30:34+00:00,Chicago,Illinois,US,16.22,0.29,16.509999999999998,595.64,0.992,16.64,16.22,146,08/21/23
Theo + Minneapolis,Ride,"(44.93972095660865, -93.35442398674786)",921.91604,28775.4,root='Ride',189.5,246.9,2023-08-14 22:46:29+00:00,Saint Louis Park,Minnesota,US,4.47,1.24,5.71,865.98,0.992,5.76,17.88,622,08/14/23
Lake Minnetonka ,Ride,"(44.93935441598296, -93.35389902815223)",991.1417640000001,54356.2,root='Ride',208.7,273.3,2023-08-13 15:03:45+00:00,Saint Louis Park,Minnesota,US,8.44,1.37,9.809999999999999,943.9,0.992,9.89,33.78,685,08/13/23
Red Wing,GravelRide,"(44.55425885505974, -92.49019118025899)",1161.7454440000001,51924.8,root='Ride',835.0,226.1,2023-08-11 19:32:56+00:00,Red Wing,Minnesota,US,10.75,5.48,16.23,951.77,0.992,16.36,32.26,2740,08/11/23
Saint Paul,Ride,"(44.93975196965039, -93.35330005735159)",1007.21788,55254.3,root='Ride',246.0,231.9,2023-08-09 23:03:54+00:00,Saint Louis Park,Minnesota,US,8.58,1.61,10.19,884.02,0.992,10.27,34.33,807,08/09/23
Greenway,Ride,"(44.9396668933332, -93.35435936227441)",912.401604,30571.0,root='Ride',68.7,241.8,2023-08-02 00:22:12+00:00,Saint Louis Park,Minnesota,US,4.75,0.45,5.2,852.85,0.992,5.24,19.0,225,08/02/23
Theo Wirth,MountainBikeRide,"(44.93969296105206, -93.35379609838128)",928.8058040000001,21825.9,root='Ride',234.0,257.0,2023-07-31 00:36:18+00:00,Saint Louis Park,Minnesota,US,5.42,1.54,6.96,885.99,0.992,7.02,13.56,768,07/31/23
Greenway,Ride,"(44.93971056304872, -93.35384555161)",918.307116,30627.7,root='Ride',69.0,241.5,2023-07-26 01:06:50+00:00,Saint Louis Park,Minnesota,US,4.76,0.45,5.21,855.31,0.992,5.25,19.03,226,07/26/23
Cuyuna ,MountainBikeRide,"(46.491378117352724, -93.95298264920712)",1392.3884959999998,65547.7,root='Ride',637.0,366.3,2023-07-22 15:40:46+00:00,Crosby,Minnesota,US,16.29,4.18,20.47,1297.08,0.992,20.64,40.73,2090,07/22/23
Greenway + River Roads,Ride,"(44.939690697938204, -93.35393004119396)",918.307116,44079.0,root='Ride',135.0,240.0,2023-07-20 23:57:24+00:00,Saint Louis Park,Minnesota,US,6.85,0.89,7.739999999999999,852.85,0.992,7.8,27.39,443,07/20/23
Jordan,Ride,"(44.837968088686466, -93.37641634047031)",997.37536,81467.6,root='Ride',482.3,215.1,2023-07-16 19:00:23+00:00,Edina,Minnesota,US,12.66,3.16,15.82,851.54,0.992,15.95,50.62,1582,07/16/23
Bertram Lake Park,MountainBikeRide,"(45.295471, -93.849671)",980.3149920000001,20527.2,root='Ride',157.0,284.6,2023-07-15 21:34:51+00:00,Monticello,Minnesota,US,5.1,1.03,6.13,957.02,0.992,6.18,12.76,515,07/15/23
Saint Paul,Ride,"(44.93966546840966, -93.35389357991517)",1007.21788,58477.1,root='Ride',242.0,231.8,2023-07-13 22:56:00+00:00,Saint Louis Park,Minnesota,US,9.08,1.59,10.67,883.86,0.992,10.76,36.34,794,07/13/23
Eden Prairie,Ride,"(44.939679047092795, -93.35374446585774)",961.942288,28451.2,root='Ride',202.1,257.6,2023-07-13 00:55:39+00:00,Saint Louis Park,Minnesota,US,4.42,1.33,5.75,903.54,0.992,5.8,17.68,663,07/13/23
Chicago Lakefront Path,Run,,0.0,15031.3,root='Run',12.8,0.0,2023-07-09 00:50:00+00:00,,,,9.34,0.08,9.42,0.0,1.0,9.42,9.34,42,07/09/23
Lebanon Hills,MountainBikeRide,"(44.78197, -93.187913)",1075.459352,14506.0,root='Ride',180.2,278.3,2023-07-04 16:10:21+00:00,Eagan,Minnesota,US,3.61,1.18,4.79,994.26,0.992,4.83,9.01,591,07/04/23
Saint Paul,Ride,,0.0,50181.8,root='Ride',0.0,0.0,2023-07-03 22:12:45+00:00,,,,7.8,0.0,7.8,0.0,1.0,7.8,31.18,0,07/03/23
Durand,Ride,"(44.628820829093456, -91.96739763021469)",1285.105028,46034.6,root='Ride',828.2,214.5,2023-07-01 14:51:41+00:00,Durand,Wisconsin,US,7.15,5.43,12.58,994.42,0.992,12.68,28.6,2717,07/01/23
Greenway,Ride,"(44.93942817673087, -93.35266202688217)",912.401604,31560.5,root='Ride',73.0,241.7,2023-06-29 01:13:52+00:00,Saint Louis Park,Minnesota,US,4.9,0.48,5.380000000000001,852.69,0.992,5.42,19.61,240,06/29/23
Minneapolis Sculpture Garden,Run,"(44.947016, -93.318725)",919.9475359999999,11647.7,root='Run',83.0,250.0,2023-06-28 00:52:23+00:00,Saint Louis Park,Minnesota,US,7.24,0.54,7.78,870.08,0.992,7.84,7.24,272,06/28/23
Theo Wirth,MountainBikeRide,"(44.939696, -93.353745)",925.5249640000001,29636.5,root='Ride',360.4,252.8,2023-06-26 22:20:56+00:00,Saint Louis Park,Minnesota,US,7.37,2.36,9.73,877.46,0.992,9.81,18.42,1182,06/26/23
Greenway + River Rds,Ride,"(44.93951509706676, -93.35315681062639)",912.07352,47285.6,root='Ride',143.7,239.7,2023-06-21 00:40:39+00:00,Saint Louis Park,Minnesota,US,7.35,0.94,8.29,849.25,0.992,8.36,29.38,471,06/21/23
Lake Minnetonka,Ride,"(44.939773343503475, -93.35377749055624)",1041.338616,84630.8,root='Ride',663.5,257.5,2023-06-18 18:08:06+00:00,Saint Louis Park,Minnesota,US,13.15,4.35,17.5,943.08,0.992,17.64,52.59,2177,06/18/23
University of Minnesota,Run,"(44.971980387344956, -93.22707136161625)",847.112888,11782.0,root='Run',41.8,244.7,2023-06-16 21:35:18+00:00,Lauderdale,Minnesota,US,7.32,0.27,7.59,824.97,0.992,7.65,7.32,137,06/16/23
South Minneapolis,Ride,"(44.93956312537193, -93.35364111699164)",922.244124,35125.5,root='Ride',126.1,251.0,2023-06-16 00:38:48+00:00,Saint Louis Park,Minnesota,US,5.46,0.83,6.29,872.87,0.992,6.34,21.83,414,06/16/23
Theo Wirth,MountainBikeRide,"(44.939311, -93.35295)",925.5249640000001,35446.3,root='Ride',349.8,250.8,2023-06-12 22:25:19+00:00,Saint Louis Park,Minnesota,US,8.81,2.3,11.11,874.18,0.992,11.2,22.03,1148,06/12/23
Bde Maka Ska,Run,"(44.94671783410013, -93.31902243196964)",893.7008159999999,13464.8,root='Run',23.7,260.9,2023-06-09 18:42:47+00:00,Saint Louis Park,Minnesota,US,8.37,0.16,8.53,874.84,0.992,8.6,8.37,78,06/09/23
Maple Grove,Ride,"(45.10375631041825, -93.45741393975914)",1026.246752,65271.1,root='Ride',290.3,272.2,2023-06-07 22:39:47+00:00,Maple Grove,Minnesota,US,10.14,1.9,12.040000000000001,959.65,0.992,12.14,40.56,952,06/07/23
Minnetonka,Ride,"(44.939656499773264, -93.35392543114722)",990.81368,47458.5,root='Ride',230.5,263.2,2023-06-05 23:34:35+00:00,Saint Louis Park,Minnesota,US,7.37,1.51,8.88,927.17,0.992,8.95,29.49,756,06/05/23
Grand Rounds,Ride,"(44.93968759663403, -93.35364405065775)",971.4567240000001,60141.1,root='Ride',300.4,224.6,2023-06-04 14:27:49+00:00,Saint Louis Park,Minnesota,US,9.34,1.97,11.31,854.17,0.992,11.4,37.37,986,06/04/23
Dighton,Ride,"(44.21755604445934, -85.40824742987752)",1695.5381119999997,58233.9,root='Ride',486.8,363.9,2023-06-01 20:31:05+00:00,Cadillac,Michigan,US,9.05,3.19,12.24,1444.72,0.992,12.34,36.18,1597,06/01/23
Olga Lake,GravelRide,"(44.217503, -85.408273)",1431.430492,45699.8,root='Ride',388.2,371.3,2023-05-31 19:57:27+00:00,Cadillac,Michigan,US,9.47,2.55,12.02,1324.8,0.992,12.12,28.4,1274,05/31/23
BLOM / Island Lake,MountainBikeRide,"(42.26873, -83.739896)",992.4541,84275.7,root='Ride',556.0,237.3,2023-05-28 12:47:27+00:00,Ann Arbor,Michigan,US,18.21,3.65,21.86,885.5,0.992,22.04,52.37,1824,05/28/23
DTE,MountainBikeRide,"(42.373755, -84.078662)",1089.566964,23291.2,root='Ride',360.3,289.7,2023-05-27 17:28:18+00:00,Chelsea,Michigan,US,5.79,2.36,8.15,1020.01,0.992,8.22,14.47,1182,05/27/23
Hamburg,Ride,"(42.26880010217428, -83.73994200490415)",986.2205040000001,60023.9,root='Ride',406.0,237.2,2023-05-26 19:52:18+00:00,Ann Arbor,Michigan,US,9.32,2.66,11.98,882.22,0.992,12.08,37.3,1332,05/26/23
Pictured Rocks,Hike,"(46.51951055042446, -86.46174654364586)",822.178504,17791.8,root='Hike',219.1,186.2,2023-05-24 15:56:04+00:00,Munising,Michigan,US,11.06,1.44,12.5,716.54,0.992,12.6,11.06,719,05/24/23
Escarpment Trail,Hike,"(46.81798140518367, -89.6948192641139)",1572.178528,13787.7,root='Hike',543.0,297.0,2023-05-22 14:53:55+00:00,Ontonagon,Michigan,US,8.57,3.56,12.13,1273.29,0.992,12.23,8.57,1781,05/22/23
The Dragon ,MountainBikeRide,"(43.50337, -85.588637)",922.5722079999999,32033.0,root='Ride',258.2,251.8,2023-05-20 18:37:06+00:00,Howard City,Michigan,US,7.96,1.69,9.65,874.34,0.992,9.73,19.9,847,05/20/23
Arcadia Dunes,MountainBikeRide,"(44.526044, -86.214431)",1021.98166,24772.6,root='Ride',351.1,185.6,2023-05-19 20:22:58+00:00,Frankfort,Michigan,US,6.16,2.3,8.46,815.45,0.992,8.53,15.39,1152,05/19/23
Cadillac Pathway ,MountainBikeRide,"(44.267202, -85.377342)",1448.4908599999999,37400.1,root='Ride',424.9,379.4,2023-05-18 16:38:32+00:00,Cadillac,Michigan,US,9.3,2.79,12.09,1346.62,0.992,12.19,23.24,1394,05/18/23
WPT - Ashton,Ride,"(44.21819273382425, -85.40801416151226)",1432.08666,68120.2,root='Ride',223.2,353.7,2023-05-16 15:02:51+00:00,Cadillac,Michigan,US,10.58,1.46,12.04,1296.26,0.992,12.14,42.33,732,05/16/23
Cadillac Pathway,MountainBikeRide,"(44.267243, -85.376734)",1448.4908599999999,17571.1,root='Ride',239.3,382.6,2023-05-15 20:06:02+00:00,Cadillac,Michigan,US,4.37,1.57,5.94,1351.87,0.992,5.99,10.92,785,05/15/23
Dighton,Ride,"(44.2174063436687, -85.40817249566317)",1695.5381119999997,50584.1,root='Ride',468.0,363.9,2023-05-10 20:54:13+00:00,Cadillac,Michigan,US,7.86,3.07,10.93,1444.72,0.992,11.02,31.43,1535,05/10/23
Meauwataka ,Ride,"(44.21747960150242, -85.40820962749422)",1523.95018,54843.7,root='Ride',292.1,392.2,2023-05-09 15:00:54+00:00,Cadillac,Michigan,US,8.52,1.92,10.44,1405.35,0.992,10.52,34.08,958,05/09/23
Cadillac Pathway,MountainBikeRide,"(44.26729, -85.377464)",1448.4908599999999,17526.8,root='Ride',237.8,382.6,2023-05-08 21:25:11+00:00,Cadillac,Michigan,US,4.36,1.56,5.92,1351.87,0.992,5.97,10.89,780,05/08/23
Pyramid Point,Hike,"(44.9622474052012, -85.92996818013489)",957.349112,1949.5,root='Hike',71.2,220.3,2023-05-04 20:03:17+00:00,Leland,Michigan,US,1.21,0.47,1.68,840.06,0.992,1.69,1.21,234,05/04/23
Sleeping Bear Dunes,Hike,"(44.88213392905891, -86.04253387078643)",852.6903159999999,6205.4,root='Hike',245.2,156.9,2023-05-04 17:41:58+00:00,Beulah,Michigan,US,3.86,1.61,5.47,683.73,0.992,5.51,3.86,804,05/04/23
Dexter,Ride,"(42.26905365474522, -83.7399305216968)",983.267748,38107.9,root='Ride',234.0,237.4,2023-03-26 17:11:36+00:00,Ann Arbor,Michigan,US,5.92,1.54,7.46,881.07,0.992,7.52,23.68,768,03/26/23
Cadillac Pathway ,NordicSki,"(44.28281368687749, -85.33501474186778)",1270.341248,4628.4,root='NordicSki',8.2,383.0,2022-12-29 16:07:30+00:00,Cadillac,Michigan,US,2.88,0.05,2.9299999999999997,1263.45,0.992,2.95,2.88,27,12/29/22
Cadillac Pathway ,NordicSki,"(44.28265292197466, -85.3349828068167)",1319.553848,6615.2,root='NordicSki',39.2,383.0,2022-12-25 16:17:07+00:00,Cadillac,Michigan,US,4.11,0.26,4.37,1288.06,0.992,4.41,4.11,129,12/25/22
Heritage Trail,NordicSki,"(44.23995416611433, -85.45399912633002)",1295.6037159999998,3930.3,root='NordicSki',5.7,391.8,2022-12-24 20:29:30+00:00,Cadillac,Michigan,US,2.44,0.04,2.48,1290.52,0.992,2.5,2.44,19,12/24/22
Cadillac Pathway ,NordicSki,"(44.28279432468116, -85.33500174991786)",1387.139152,8714.7,root='NordicSki',75.9,383.0,2022-12-20 20:08:12+00:00,Cadillac,Michigan,US,5.42,0.5,5.92,1321.85,0.992,5.97,5.42,249,12/20/22
West Ann Arbor,GravelRide,"(42.269108, -83.739931)",1052.8215559999999,42902.0,root='Ride',303.0,251.6,2022-09-10 14:02:37+00:00,Ann Arbor,Michigan,US,8.89,1.99,10.88,939.14,0.992,10.97,26.66,994,09/10/22
Dexter,Ride,"(42.26910872384906, -83.73994024470448)",982.61158,36995.5,root='Ride',227.0,237.2,2022-08-25 14:15:10+00:00,Ann Arbor,Michigan,US,5.75,1.49,7.24,880.41,0.992,7.3,22.99,745,08/25/22
DTE,MountainBikeRide,"(42.373859, -84.078712)",1102.034156,30400.6,root='Ride',454.8,289.3,2022-08-23 18:20:15+00:00,Chelsea,Michigan,US,7.56,2.98,10.54,1025.59,0.992,10.62,18.89,1492,08/23/22
Harrietta + Hoxeyville,Ride,"(44.217526791617274, -85.40846728719771)",1431.430492,96033.9,root='Ride',589.9,331.4,2022-08-22 14:38:42+00:00,Cadillac,Michigan,US,14.92,3.87,18.79,1259.35,0.992,18.94,59.67,1935,08/22/22
Trail Ridge Road,Ride,"(40.371468560770154, -105.54195603355765)",12188.648684,139913.0,root='Ride',2949.0,2326.5,2022-08-19 11:46:09+00:00,Estes Park,Colorado,US,21.73,19.35,41.08,9910.76,0.837,49.08,86.94,9675,08/19/22
Longs Peak Trailhead,Ride,"(40.37385229021311, -105.54573593661189)",9388.451744,32961.1,root='Ride',811.6,2326.5,2022-08-17 13:16:21+00:00,Estes Park,Colorado,US,5.12,5.33,10.45,8510.66,0.863,12.11,20.48,2663,08/17/22
Deer Ridge Junction ,Ride,"(40.37166494876146, -105.54214186035097)",9033.464856,33572.5,root='Ride',568.4,2299.4,2022-08-15 12:07:14+00:00,Estes Park,Colorado,US,5.22,3.73,8.95,8288.71,0.886,10.1,20.86,1865,08/15/22
